Time(sec),VGRF_left_s1,VGRF_left_s2,VGRF_left_s3,VGRF_left_s4,VGRF_left_s5,VGRF_left_s6,VGRF_left_s7,VGRF_left_s8,VGRF_right_s1,VGRF_right_s2,VGRF_right_s3,VGRF_right_s4,VGRF_right_s5,VGRF_right_s6,VGRF_right_s7,VGRF_right_s8,Total_force_left,Total_force_right,class
0.34,103.62,72.38,113.08,33.44,36.85,69.19,314.82,95.59,9.13,8.36,7.59,15.07,4.18,138.27,106.81,273.79,838.97,563.2,0
0.35,101.42,70.4,108.57,37.62,39.05,71.5,328.35,99.99,9.13,8.36,7.59,12.54,4.18,98.67,99.66,266.75,856.9,506.88,0
0.36,97.13,68.42,106.37,39.71,41.25,76.23,337.48,106.48,9.13,6.27,7.59,10.01,6.27,67.54,85.25,250.36,873.07,442.42,0
0.37,94.93,68.42,101.86,43.89,41.25,80.85,346.5,110.88,6.82,6.27,7.59,10.01,4.18,45.32,66.11,229.24,888.58,375.54,0
0.38,92.73,68.42,101.86,45.98,43.34,83.27,355.52,113.08,6.82,4.18,5.61,10.01,4.18,27.72,46.42,191.73,904.2,296.67,0
0.39,90.53,68.42,99.66,50.16,45.54,88,362.34,117.59,4.51,0,5.61,7.48,0,17.6,38.28,151.47,922.24,224.95,0
0.4,92.73,70.4,101.86,52.25,45.54,90.31,366.85,119.9,0,0,5.61,7.48,0,12.54,30.25,118.58,939.84,174.46,0
0.41,97.13,72.38,106.37,56.54,47.74,92.62,371.36,122.21,0,0,5.61,4.95,0,10.01,20.13,84.81,966.35,125.51,0
0.42,101.42,76.34,113.08,58.63,47.74,92.62,375.87,124.52,0,0,3.74,0,0,4.95,12.1,55.77,990.22,76.56,0
0.43,105.82,82.28,119.68,60.72,49.94,95.04,380.38,129.03,0,0,3.74,0,0,4.95,10.01,27.83,1022.89,46.53,0
0.44,112.42,86.35,126.28,65.01,52.03,97.35,382.69,129.03,0,0,3.74,0,0,4.95,8.03,11.11,1051.16,27.83,0
0.45,118.36,90.31,132.88,67.1,52.03,99.66,384.89,131.34,0,0,3.74,0,0,4.95,8.03,11.11,1076.57,27.83,0
0.46,122.32,96.25,139.48,69.19,52.03,102.08,384.89,133.65,0,0,0,0,0,4.95,6.05,8.36,1099.89,19.36,0
0.47,128.26,100.21,143.88,71.28,52.03,102.08,384.89,133.65,0,0,0,0,0,0,6.05,5.5,1116.28,11.55,0
0.48,134.2,106.15,148.28,71.28,52.03,104.39,382.69,133.65,0,0,0,0,0,4.95,8.03,5.5,1132.67,18.48,0
0.49,138.16,110.22,152.68,73.48,52.03,104.39,375.87,133.65,0,0,0,0,0,0,8.03,5.5,1140.48,13.53,0
0.5,142.23,112.42,154.88,73.48,52.03,104.39,371.36,133.65,0,0,0,0,0,0,6.05,5.5,1144.44,11.55,0
0.51,146.19,116.82,157.08,75.57,52.03,104.39,364.54,133.65,0,0,3.74,0,0,0,6.05,0,1150.27,9.79,0
0.52,146.19,116.82,157.08,77.66,52.03,106.7,357.83,133.65,0,0,0,0,0,0,8.03,0,1147.96,8.03,0
0.53,146.19,119.02,157.08,81.95,52.03,109.12,346.5,133.65,0,0,0,0,0,0,6.05,0,1145.54,6.05,0
0.54,146.19,119.02,154.88,86.13,52.03,111.43,335.17,135.96,0,0,0,0,0,0,6.05,0,1140.81,6.05,0
0.55,144.21,119.02,150.48,92.51,52.03,113.85,328.35,135.96,0,0,0,0,0,0,6.05,0,1136.41,6.05,0
0.56,140.25,114.62,146.08,94.6,52.03,116.16,326.15,135.96,0,0,0,0,0,0,6.05,0,1125.85,6.05,0
0.57,136.18,112.42,141.68,98.89,49.94,118.58,323.84,135.96,0,0,0,0,0,0,3.96,0,1117.49,3.96,0
0.58,132.22,110.22,139.48,100.98,49.94,121,323.84,135.96,0,0,0,0,0,0,3.96,0,1113.64,3.96,0
0.59,130.24,108.13,135.08,103.07,52.03,123.42,321.53,133.65,0,0,0,0,0,0,3.96,0,1107.15,3.96,0
0.6,128.26,106.15,132.88,105.27,49.94,125.73,321.53,133.65,0,0,0,0,0,0,3.96,0,1103.41,3.96,0
0.61,126.28,104.17,130.68,109.45,49.94,128.15,321.53,133.65,0,0,0,0,0,0,3.96,0,1103.85,3.96,0
0.62,124.3,104.17,128.48,111.65,49.94,128.15,321.53,133.65,0,0,0,0,0,0,3.96,0,1101.87,3.96,0
0.63,124.3,102.19,128.48,113.63,52.03,130.57,321.53,133.65,0,0,0,0,0,0,3.96,0,1106.38,3.96,0
0.64,122.32,102.19,126.28,117.81,52.03,132.99,323.84,133.65,0,0,0,0,0,0,3.96,0,1111.11,3.96,0
0.65,120.34,100.21,124.08,121.99,52.03,137.72,323.84,135.96,0,0,0,0,0,0,3.96,0,1116.17,3.96,0
0.66,118.36,100.21,121.88,128.15,52.03,142.56,323.84,135.96,0,0,0,0,0,0,3.96,0,1122.99,3.96,0
0.67,114.4,98.23,119.68,136.4,54.23,147.29,317.02,138.27,0,0,0,0,0,0,3.96,0,1125.52,3.96,0
0.68,112.42,96.25,117.48,148.83,54.23,156.97,310.2,138.27,0,0,0,0,0,0,3.96,0,1134.65,3.96,0
0.69,108.02,94.27,113.08,163.35,52.03,166.54,298.87,140.58,0,0,0,0,0,0,3.96,0,1136.74,3.96,0
0.7,103.62,92.29,106.37,180.18,52.03,175.78,289.85,140.58,0,0,0,0,0,0,3.96,0,1140.7,3.96,0
0.71,94.93,88.33,99.66,195.03,49.94,182.71,283.03,140.58,0,0,0,0,0,0,3.96,0,1134.21,3.96,0
0.7199,86.24,82.28,90.75,209.88,49.94,191.84,276.21,140.58,0,0,0,0,0,0,3.96,0,1127.72,3.96,0
0.7299,75.35,74.36,81.84,224.84,47.74,198.66,269.28,140.58,0,0,0,0,0,0,0,0,1112.65,0,0
0.7399,64.46,68.42,70.62,236.28,47.74,207.9,264.66,140.58,0,0,0,0,0,0,0,0,1100.66,0,0
0.7499,53.79,60.5,61.71,247.72,45.54,214.72,262.35,140.58,0,0,0,0,0,0,0,0,1086.91,0,0
0.7599,43.45,54.56,51.15,257.29,43.34,221.65,262.35,142.78,0,0,0,0,0,0,0,0,1076.57,0,0
0.7699,35.09,47.08,43.23,266.86,43.34,228.47,262.35,145.09,0,0,0,0,0,0,0,0,1071.51,0,0
0.7799,31.02,41.36,33.44,272.58,41.25,233.09,262.35,147.4,0,0,0,0,0,0,0,0,1062.49,0,0
0.7899,28.93,33.88,25.52,278.52,39.05,240.02,264.66,149.71,0,0,0,0,0,0,0,0,1060.29,0,0
0.7999,24.75,28.16,21.56,280.61,36.85,244.64,266.97,152.02,0,0,0,0,0,0,0,0,1055.56,0,0
0.8099,22.77,22.55,17.71,280.61,34.65,251.57,269.28,154.33,0,0,0,0,0,0,0,0,1053.47,0,0
0.8199,20.68,20.68,15.73,280.61,32.56,256.19,271.59,158.84,0,0,0,0,0,0,0,0,1056.88,0,0
0.8299,18.59,18.81,13.75,280.61,28.16,263.12,271.59,163.46,0,0,0,0,0,0,0,0,1058.09,0,0
0.8399,16.5,15.07,11.77,278.52,25.96,270.05,273.9,168.08,0,0,0,0,0,0,0,0,1059.85,0,0
0.8499,14.41,13.09,9.79,272.58,23.87,274.67,271.59,170.39,0,0,0,0,0,0,0,0,1050.39,0,0
0.8599,14.41,13.09,9.79,266.86,19.47,281.49,269.28,175.12,0,0,0,0,0,0,0,0,1049.51,0,0
0.8699,14.41,11.22,7.81,259.16,17.27,285.89,264.66,179.85,0,0,0,0,0,0,0,0,1040.27,0,0
0.8799,14.41,11.22,7.81,249.59,15.18,292.49,257.84,182.16,13.64,0,0,0,0,0,0,0,1030.7,13.64,0
0.8899,12.32,11.22,7.81,240.02,10.78,296.89,250.91,184.58,43.45,0,0,0,0,0,0,0,1014.53,43.45,0
0.8999,12.32,11.22,7.81,230.56,8.58,303.49,239.47,189.31,100.1,0,3.74,0,0,0,0,0,1002.76,103.84,0
0.9099,12.32,11.22,7.81,216.26,6.49,308,230.23,191.73,206.47,4.18,13.2,4.95,0,0,0,0,984.06,228.8,0
0.9199,12.32,11.22,7.81,199.32,4.29,312.4,218.68,194.04,245.96,16.72,28.49,7.48,0,0,0,0,960.08,298.65,0
0.9299,12.32,11.22,7.81,184.47,0,314.6,204.71,196.46,273.68,33.44,51.26,4.95,0,0,0,0,931.59,363.33,0
0.9399,12.32,11.22,7.81,165.44,0,316.8,190.74,198.88,309.54,58.63,83.38,0,0,0,0,0,903.21,451.55,0
0.9499,12.32,11.22,7.81,146.74,0,316.8,174.46,198.88,338.14,84.04,122.98,7.48,0,0,0,0,868.23,552.64,0
0.9599,10.34,11.22,5.83,123.97,0,314.6,158.4,198.88,342.76,105.27,152.9,17.6,0,0,0,0,823.24,618.53,0
0.9699,10.34,11.22,5.83,100.98,0,308,144.76,198.88,331.21,118.14,173.69,25.19,0,0,0,0,780.01,648.23,0
0.9799,8.25,11.22,5.83,77.66,0,296.89,133.43,196.46,321.53,126.83,187.77,37.73,4.18,4.95,0,5.5,729.74,688.49,0
0.9899,8.25,9.35,5.83,52.25,0,281.49,122.1,191.73,311.96,131.23,197.12,42.79,10.56,12.54,14.08,8.36,671,728.64,0
0.9999,6.16,9.35,5.83,33.44,4.29,253.88,113.08,182.16,307.12,137.72,201.74,45.32,12.65,22.66,26.18,11.11,608.19,764.5,0
1.0099,4.07,9.35,3.85,27.17,4.29,210.21,103.51,172.7,304.7,146.41,208.78,47.85,14.74,30.14,34.32,13.86,535.15,800.8,0
1.0199,0,7.48,3.85,25.08,6.49,156.97,94.05,161.15,307.12,157.3,220.55,52.91,16.94,40.26,42.35,19.47,455.07,856.9,0
1.0299,0,5.61,3.85,22.99,8.58,106.7,84.59,145.09,309.54,165.99,234.08,55.44,19.03,47.85,50.38,25.08,377.41,907.39,0
1.0399,0,5.61,0,18.81,10.78,64.46,70.4,122.21,314.38,174.46,249.92,57.97,21.12,55.44,58.85,30.69,292.27,962.83,0
1.0499,0,3.74,0,16.72,8.58,35.97,47.3,89.1,323.95,180.73,265.76,62.92,23.21,60.28,66.11,36.19,201.41,1019.15,0
1.0599,0,3.74,0,12.54,6.49,19.03,33.77,60.72,331.21,189.09,281.82,65.45,25.41,62.7,73.26,41.8,136.29,1070.74,0
1.0699,0,0,0,8.36,4.29,10.56,24.75,38.28,338.14,193.27,296.12,67.98,27.5,65.12,78.1,50.16,86.24,1116.39,0
1.0799,0,0,0,0,4.29,4.18,15.73,15.73,345.07,199.54,305.69,70.4,27.5,67.54,82.83,55.77,39.93,1154.34,0
1.0899,0,0,0,0,0,0,11.22,0,347.38,203.72,310.42,72.93,29.59,72.27,85.25,58.63,11.22,1180.19,0
1.0999,0,0,0,0,0,0,9.02,0,349.58,207.9,312.84,75.46,29.59,72.27,87.67,58.63,9.02,1193.94,0
1.1099,0,0,0,0,0,0,6.71,0,351.89,209.99,312.84,77.99,29.59,74.69,89.98,61.49,6.71,1208.46,0
1.1199,0,0,0,0,0,0,6.71,0,354.2,214.17,310.42,80.41,31.79,74.69,92.4,64.35,6.71,1222.43,0
1.1299,0,0,0,0,0,0,4.51,0,354.2,216.26,310.42,80.41,31.79,77.11,94.82,64.35,4.51,1229.36,0
1.1399,0,0,0,0,0,0,4.51,0,354.2,216.26,308.11,82.94,31.79,77.11,94.82,67.32,4.51,1232.55,0
1.1499,0,0,0,0,0,0,4.51,0,356.51,218.35,308.11,82.94,31.79,77.11,97.24,67.32,4.51,1239.37,0
1.1599,0,0,0,0,0,0,0,0,356.51,216.26,305.69,82.94,31.79,77.11,97.24,67.32,0,1234.86,0
1.1699,0,0,0,0,0,0,0,0,354.2,216.26,303.27,82.94,31.79,74.69,97.24,64.35,0,1224.74,0
1.1799,0,0,0,0,0,0,0,0,351.89,214.17,298.54,82.94,31.79,74.69,97.24,67.32,0,1218.58,0
1.1899,0,0,0,0,0,0,0,0,349.58,212.08,296.12,85.47,31.79,74.69,97.24,67.32,0,1214.29,0
1.1999,0,0,0,0,0,0,0,0,342.76,207.9,291.39,85.47,31.79,74.69,97.24,67.32,0,1198.56,0
1.2099,0,0,0,0,0,0,0,0,338.14,205.81,286.55,85.47,33.88,77.11,99.66,67.32,0,1193.94,0
1.2199,0,0,0,0,0,0,0,0,331.21,201.63,281.82,88,33.88,77.11,99.66,67.32,0,1180.63,0
1.2299,0,0,0,0,0,0,0,0,326.37,199.54,277.09,90.53,33.88,79.53,99.66,70.18,0,1176.78,0
1.2399,0,0,0,0,0,0,0,0,321.53,197.45,274.78,92.95,35.97,79.53,101.97,70.18,0,1174.36,0
1.2499,0,0,0,0,0,0,0,0,316.69,197.45,272.47,95.48,35.97,81.84,101.97,70.18,0,1172.05,0
1.2599,0,0,0,0,0,0,0,0,311.96,195.36,267.96,98.01,35.97,84.26,101.97,70.18,0,1165.67,0
1.2699,0,0,0,0,0,0,0,0,309.54,193.27,265.76,102.96,35.97,86.68,101.97,70.18,0,1166.33,0
1.2799,0,0,0,0,0,0,0,0,304.7,193.27,263.45,105.49,35.97,89.1,101.97,73.15,0,1167.1,0
1.2899,0,0,0,0,0,0,0,0,302.28,193.27,261.25,110.55,35.97,91.41,99.66,73.15,0,1167.54,0
1.2999,0,0,0,0,0,0,0,0,299.86,191.18,261.25,115.5,35.97,96.25,99.66,73.15,0,1172.82,0
1.3099,0,0,0,0,0,0,0,0,297.55,193.27,261.25,120.45,38.06,98.67,99.66,73.15,0,1182.06,0
1.3199,0,0,0,0,0,0,0,0,295.13,193.27,258.94,125.51,38.06,103.4,99.66,73.15,0,1187.12,0
1.3299,0,0,0,0,0,0,0,0,292.71,191.18,256.63,130.46,38.06,105.82,101.97,76.01,0,1192.84,0
1.3399,0,0,0,0,0,0,0,0,287.87,189.09,254.43,135.41,38.06,110.66,104.39,76.01,0,1195.92,0
1.3499,0,0,0,0,0,0,0,0,285.45,189.09,252.12,140.36,38.06,113.08,106.81,76.01,0,1200.98,0
1.3599,0,0,0,0,0,0,0,0,280.72,187,249.92,145.42,40.26,115.5,109.23,78.98,0,1207.03,0
1.3699,0,0,0,0,0,0,0,0,275.99,184.91,247.61,147.84,40.26,118.03,111.65,78.98,0,1205.27,0
1.3799,0,0,0,0,0,0,0,0,269.06,182.82,245.41,152.79,40.26,118.03,113.96,81.84,0,1204.17,0
1.3899,0,0,0,0,0,0,0,0,264.44,178.64,240.9,155.32,42.35,120.56,116.27,84.81,0,1203.29,0
1.3999,0,0,0,0,0,0,0,0,257.51,176.55,236.28,160.27,42.35,123.09,118.58,84.81,0,1199.44,0
1.4099,0,0,0,0,0,0,0,0,250.58,172.37,229.57,162.8,44.44,125.62,123.2,87.67,0,1196.25,0
1.4199,0,0,0,0,0,0,0,0,243.65,165.99,225.06,167.97,44.44,128.15,125.62,90.53,0,1191.41,0
1.4299,0,0,0,0,0,0,0,0,234.41,161.59,220.55,173.25,46.53,130.68,130.24,93.5,0,1190.75,0
1.4399,0,0,0,0,0,0,0,0,225.17,157.3,213.51,178.53,48.73,133.21,134.86,96.36,0,1187.67,0
1.4499,0,0,0,0,0,0,0,0,215.82,152.9,204.16,183.81,48.73,135.74,139.59,99.33,0,1180.08,0
1.4599,0,0,0,0,0,0,0,0,206.47,146.41,197.12,191.73,50.82,140.8,144.21,102.19,0,1179.75,0
1.4699,0,0,0,0,0,0,0,0,194.81,139.92,187.77,197.12,52.91,145.75,148.83,108.02,0,1175.13,0
1.4799,0,0,0,0,0,0,0,0,183.04,133.32,178.42,207.68,55.11,150.81,155.87,110.99,0,1175.24,0
1.4899,0,0,0,0,0,0,0,0,171.38,126.83,169.07,218.24,57.53,155.87,162.8,118.58,0,1180.3,0
1.4999,0,0,0,0,0,0,0,0,159.94,120.34,159.83,228.69,60.06,160.93,172.37,121.11,0,1183.27,0
1.5099,0,0,0,0,0,0,0,0,148.5,113.85,148.28,240.79,62.59,168.52,182.16,128.7,0,1193.39,0
1.5199,0,0,0,0,0,0,0,0,137.17,107.47,136.84,250.47,65.12,175.67,191.84,133.76,0,1198.34,0
1.5299,0,0,0,0,0,0,0,0,125.84,98.89,125.29,262.57,67.65,180.4,201.63,141.35,0,1203.62,0
1.5399,0,0,0,0,0,0,0,0,112.09,90.42,111.65,274.67,70.18,187.44,213.84,148.94,0,1209.23,0
1.5499,0,0,0,0,0,0,0,0,97.79,79.86,98.56,287.32,70.18,194.59,225.94,156.53,0,1210.77,0
1.5599,0,0,0,0,0,0,0,0,83.38,69.19,81.18,297.55,72.71,199.32,237.93,164.12,0,1205.38,0
1.5699,10.34,0,0,0,0,0,0,0,69.08,58.63,65.89,305.36,72.71,203.94,252.34,169.18,10.34,1197.13,0
1.5799,28.93,0,0,0,0,0,0,0,54.89,48.07,53.13,313.06,72.71,211.09,262.02,176.77,28.93,1191.74,0
1.5899,84.04,3.74,3.85,0,0,0,0,0,41.14,37.62,39.82,318.12,72.71,213.4,274.01,184.25,91.63,1181.07,0
1.5999,194.37,22.55,19.58,0,0,0,0,0,34.32,29.26,28.49,320.76,70.18,215.82,283.25,191.73,236.5,1173.81,0
1.6099,251.02,39.49,43.23,0,0,0,0,0,27.39,22.99,20.9,315.59,62.59,218.13,292.49,196.79,333.74,1156.87,0
1.6199,281.38,62.48,75.13,0,0,0,0,0,22.88,18.81,17.05,302.72,57.53,218.13,297,201.85,418.99,1135.97,0
1.6299,304.7,92.29,108.57,0,0,0,0,0,20.57,14.63,13.2,284.79,50.82,218.13,301.62,206.8,505.56,1110.56,0
1.6399,318.23,121.22,141.68,0,0,0,0,0,18.26,14.63,11.33,260.15,42.35,213.4,303.93,211.86,581.13,1075.91,0
1.6499,320.21,147.62,163.68,0,0,0,0,0,18.26,12.54,11.33,228.69,31.79,208.67,299.31,214.39,631.51,1024.98,0
1.6599,314.38,169.51,177.54,6.27,0,0,0,0,15.95,12.54,9.46,191.73,23.21,201.63,292.49,216.81,667.7,963.82,0
1.6699,306.57,181.94,184.69,12.54,0,0,0,0,15.95,12.54,9.46,155.32,16.94,199.32,283.25,219.34,685.74,912.12,0
1.6799,296.89,190.19,184.69,22.99,0,0,0,0,15.95,12.54,9.46,120.45,12.65,194.59,271.59,224.4,694.76,861.63,0
1.6899,289.08,194.37,182.27,33.44,0,0,0,0,13.64,10.45,9.46,92.95,8.47,187.44,254.76,226.93,699.16,804.1,0
1.6999,287.21,202.62,182.27,41.8,0,10.56,0,0,11.44,10.45,7.59,67.98,4.18,175.67,233.2,226.93,724.46,737.44,0
1.7099,287.21,215.05,182.27,50.16,0,19.03,0,0,11.44,10.45,7.59,42.79,4.18,158.4,211.42,224.4,753.72,670.67,0
1.7199,293.04,227.59,187,56.54,0,23.21,0,0,11.44,10.45,7.59,22.66,0,128.15,187,221.87,787.38,589.16,0
1.7299,300.74,240.13,191.73,62.81,0,25.41,0,0,9.13,8.36,7.59,17.6,0,89.1,158.18,214.39,820.82,504.35,0
1.7399,310.53,250.58,196.46,65.01,0,27.5,0,0,9.13,6.27,7.59,15.07,4.18,60.28,127.93,201.85,850.08,432.3,0
1.7499,322.19,263.12,203.5,69.19,0,27.5,0,0,6.82,4.18,5.61,15.07,4.18,40.26,97.24,184.25,885.5,357.61,0
1.7599,331.87,275.66,205.92,73.48,0,25.41,0,0,4.51,4.18,5.61,15.07,0,27.72,66.11,154,912.34,277.2,0
1.7699,337.7,286.11,208.23,79.75,0,25.41,0,0,0,0,3.74,12.54,4.18,17.6,42.35,105.16,937.2,185.57,0
1.7799,341.66,296.45,208.23,86.13,0,23.21,0,0,0,0,3.74,10.01,0,15.07,28.27,58.63,955.68,115.72,0
1.7899,343.64,304.7,203.5,96.8,0,21.12,0,0,0,0,0,10.01,0,10.01,24.2,25.08,969.76,69.3,0
1.7999,341.66,312.95,198.77,107.36,0,21.12,0,0,0,0,0,10.01,0,10.01,18.15,11.11,981.86,49.28,0
1.8099,339.68,319.11,194.15,117.81,0,23.21,0,0,0,0,0,7.48,0,10.01,16.06,11.11,993.96,44.66,0
1.8199,339.68,325.27,187,128.15,0,23.21,0,0,0,0,0,7.48,0,10.01,16.06,8.36,1003.31,41.91,0
1.8299,337.7,331.54,184.69,138.49,0,23.21,0,0,0,0,0,7.48,0,7.48,14.08,5.5,1015.63,34.54,0
1.8399,335.83,338.03,179.96,148.83,0,23.21,0,0,0,0,0,7.48,0,7.48,14.08,5.5,1025.86,34.54,0
1.8499,333.85,342.54,177.54,157.08,0,23.21,0,0,0,0,0,7.48,0,7.48,12.1,5.5,1034.22,32.56,0
1.8599,333.85,344.74,175.23,165.44,0,23.21,0,0,0,0,0,7.48,0,7.48,12.1,5.5,1042.47,32.56,0
1.8699,329.89,344.74,170.5,171.71,0,23.21,0,0,0,0,0,4.95,0,4.95,12.1,0,1040.05,22,0
1.8799,328.02,344.74,168.19,178.09,0,23.21,0,0,0,0,0,4.95,0,4.95,10.01,0,1042.25,19.91,0
1.8899,322.19,340.34,163.68,184.47,0,23.21,0,0,0,0,0,4.95,0,4.95,10.01,0,1033.89,19.91,0
1.8999,316.36,338.03,159.28,188.65,0,23.21,0,0,0,0,0,4.95,0,4.95,8.03,0,1025.53,17.93,0
1.9099,312.4,333.63,154.88,195.03,0,23.21,0,0,0,0,0,0,0,4.95,8.03,0,1019.15,12.98,0
1.9199,304.7,329.45,148.28,199.32,0,21.12,0,0,0,0,0,0,0,4.95,8.03,0,1002.87,12.98,0
1.9299,298.87,325.27,143.88,203.61,0,21.12,0,0,0,0,0,0,0,4.95,6.05,0,992.75,11,0
1.9399,293.04,321.2,139.48,207.79,0,21.12,0,0,0,0,0,0,0,0,6.05,0,982.63,6.05,0
1.9499,289.08,317.02,135.08,212.08,0,21.12,0,0,0,0,0,0,0,0,6.05,0,974.38,6.05,0
1.9599,285.23,315.04,132.88,214.17,0,19.03,0,0,0,0,0,0,0,0,6.05,0,966.35,6.05,0
1.9699,283.25,315.04,130.68,216.26,0,19.03,0,0,0,0,0,0,0,0,3.96,0,964.26,3.96,0
1.9799,283.25,315.04,130.68,218.46,0,19.03,0,0,0,0,0,0,0,0,3.96,0,966.46,3.96,0
1.9899,285.23,315.04,130.68,218.46,0,19.03,0,0,0,0,0,0,0,0,3.96,0,968.44,3.96,0
1.9999,287.21,317.02,132.88,218.46,0,19.03,0,0,0,0,0,0,0,0,3.96,0,974.6,3.96,0
2.0099,289.08,321.2,135.08,220.55,4.29,19.03,0,0,0,0,0,0,0,0,3.96,0,989.23,3.96,0
2.0199,291.06,323.29,137.28,222.64,0,19.03,0,0,0,0,0,0,0,0,3.96,0,993.3,3.96,0
2.0299,293.04,323.29,137.28,226.71,0,21.12,0,0,0,0,0,0,0,0,3.96,0,1001.44,3.96,0
2.0399,293.04,323.29,139.48,232.43,0,23.21,0,0,0,0,0,0,0,0,3.96,0,1011.45,3.96,0
2.0499,291.06,321.2,141.68,240.02,0,27.5,0,0,0,0,0,0,0,0,0,0,1021.46,0,0
